Date,Open,High,Low,Close,Volume,OI
2009-01-13,1.45,1.48,1.44,1.45,387800,0
2009-01-14,1.45,1.48,1.45,1.47,128400,0
2009-01-15,1.45,1.46,1.44,1.44,130900,0
2009-01-16,1.47,1.47,1.45,1.45,95700,0
2009-01-19,1.48,1.5,1.45,1.5,44400,0
2009-01-20,1.48,1.54,1.47,1.52,374500,0
2009-01-21,1.54,1.71,1.5,1.57,7270500,0
2009-01-22,1.58,1.65,1.58,1.59,1460000,0
2009-01-23,1.64,1.68,1.58,1.58,1756400,0
2009-01-26,1.57,1.6,1.57,1.57,290000,0
2009-01-27,1.62,1.62,1.56,1.57,122500,0
2009-01-28,1.58,1.63,1.57,1.58,450700,0
2009-01-29,1.6,1.6,1.57,1.57,213100,0
2009-01-30,1.57,1.58,1.56,1.58,172200,0
2009-02-02,1.54,1.59,1.52,1.59,442701,0
2009-02-03,1.55,1.59,1.54,1.59,4388200,0
2009-02-04,1.6,1.75,1.6,1.73,4763600,0
2009-02-05,1.74,1.8,1.65,1.65,8594701,0
2009-02-06,1.68,1.69,1.62,1.62,2909000,0
2009-02-10,1.64,1.71,1.64,1.64,1738200,0
2009-02-11,1.65,1.67,1.62,1.64,447800,0
2009-02-12,1.65,1.67,1.64,1.64,540800,0
2009-02-13,1.66,1.67,1.64,1.64,222001,0
2009-02-16,1.67,1.73,1.67,1.73,3730300,0
2009-02-17,1.74,1.76,1.61,1.61,4393300,0
2009-02-18,1.61,1.65,1.56,1.58,2330000,0
2009-02-19,1.58,1.67,1.51,1.52,3451000,0
2009-02-20,1.56,1.61,1.49,1.49,3298000,0
2009-02-23,1.49,1.51,1.48,1.48,606200,0
2009-02-24,1.49,1.49,1.45,1.45,785900,0
2009-02-25,1.45,1.5,1.4,1.46,955100,0
2009-02-26,1.46,1.46,1.34,1.35,1659200,0
2009-02-27,1.35,1.43,1.34,1.43,712500,0
2009-03-02,1.4,1.42,1.37,1.4,505000,0
2009-03-03,1.4,1.4,1.39,1.4,138000,0
2009-03-04,1.38,1.44,1.37,1.44,446000,0
2009-03-05,1.43,1.44,1.37,1.37,140200,0
2009-03-06,1.42,1.44,1.37,1.42,415201,0
2009-03-09,1.45,1.5,1.45,1.48,60000,0
2009-03-10,1.49,1.49,1.45,1.48,316500,0
2009-03-11,1.48,1.5,1.46,1.5,165100,0
2009-03-12,1.49,1.5,1.49,1.5,70357,0
2009-03-13,1.47,1.49,1.47,1.49,186400,0
2009-03-16,1.46,1.49,1.46,1.46,20100,0
2009-03-17,1.46,1.46,1.45,1.45,117000,0
2009-03-18,1.45,1.49,1.44,1.45,135300,0
2009-03-20,1.46,1.48,1.44,1.44,360000,0
